block_number,triad,target_image_pair,part,prime_word,target_word,type,correct,image_path,correct_key,
practice,1,apple-horse,priming,boff,apple,novel,1,applehorse.png,A,practice
practice,2,apple-horse,priming,mipp,horse,novel,3,applehorse.png,L,practice
practice,2,apple-horse,priming,geck,horse,novel,3,applehorse.png,L,practice
practice,1,horse-apple,priming,boff,apple,novel,3,horseapple.png,L,practice
practice,1,apple-horse,priming,mipp,apple,novel,1,applehorse.png,A,practice
practice,2,apple-horse,priming,geck,horse,novel,3,applehorse.png,L,practice
practice,2,apple-horse,priming,boff,horse,novel,3,applehorse.png,L,practice
practice,1,horse-apple,priming,mipp,apple,novel,3,horseapple.png,L,practice
practice,1,apple-horse,priming,geck,apple,novel,1,applehorse.png,A,practice
1,1,apple-horse,priming,nuppical,apple,familiar,1,applehorse.png,A,
1,1,apple-horse,priming,foobly,apple,familiar,1,applehorse.png,A,
1,1,apple-horse,priming,dodish,apple,familiar,1,applehorse.png,A,
1,1,apple-horse,priming,geck,apple,novel,1,applehorse.png,A,
1,1,apple-horse,priming,mipp,apple,novel,1,applehorse.png,A,
1,1,apple-horse,priming,boff,apple,novel,1,applehorse.png,A,
1,1,apple-horse,priming,foobly,horse,familiar,3,applehorse.png,L,
1,2,apple-horse,priming,nuppical,horse,familiar,3,applehorse.png,L,
1,2,apple-horse,priming,dodish,horse,familiar,3,applehorse.png,L,
1,2,apple-horse,priming,geck,horse,novel,3,applehorse.png,L,
1,2,apple-horse,priming,mipp,horse,novel,3,applehorse.png,L,
1,2,apple-horse,priming,boff,horse,novel,3,applehorse.png,L,
1,2,horse-apple,priming,foobly,apple,familiar,3,horseapple.png,L,
1,1,horse-apple,priming,nuppical,apple,familiar,3,horseapple.png,L,
1,1,horse-apple,priming,dodish,apple,familiar,3,horseapple.png,L,
1,1,horse-apple,priming,geck,apple,novel,3,horseapple.png,L,
1,1,horse-apple,priming,mipp,apple,novel,3,horseapple.png,L,
1,1,horse-apple,priming,boff,apple,novel,3,horseapple.png,L,
1,1,horse-apple,priming,foobly,horse,familiar,1,horseapple.png,A,
1,2,horse-apple,priming,nuppical,horse,familiar,1,horseapple.png,A,
1,2,horse-apple,priming,dodish,horse,familiar,1,horseapple.png,A,
1,2,horse-apple,priming,geck,horse,novel,1,horseapple.png,A,
1,2,horse-apple,priming,mipp,horse,novel,1,horseapple.png,A,
1,2,horse-apple,priming,boff,horse,novel,1,horseapple.png,A,
1,2,apple-horse,priming,foobly,apple,familiar,1,applehorse.png,A,
1,1,apple-horse,priming,nuppical,apple,familiar,1,applehorse.png,A,
1,1,apple-horse,priming,dodish,apple,familiar,1,applehorse.png,A,
1,1,apple-horse,priming,geck,apple,novel,1,applehorse.png,A,
1,1,apple-horse,priming,mipp,apple,novel,1,applehorse.png,A,
1,1,apple-horse,priming,boff,apple,novel,1,applehorse.png,A,
1,1,apple-horse,priming,foobly,horse,familiar,3,applehorse.png,L,
1,2,apple-horse,priming,nuppical,horse,familiar,3,applehorse.png,L,
1,2,apple-horse,priming,dodish,horse,familiar,3,applehorse.png,L,
1,2,apple-horse,priming,geck,horse,novel,3,applehorse.png,L,
1,2,apple-horse,priming,mipp,horse,novel,3,applehorse.png,L,
1,2,apple-horse,priming,boff,horse,novel,3,applehorse.png,L,
1,2,horse-apple,priming,foobly,apple,familiar,3,horseapple.png,L,
1,1,horse-apple,priming,nuppical,apple,familiar,3,horseapple.png,L,
1,1,horse-apple,priming,dodish,apple,familiar,3,horseapple.png,L,
1,1,horse-apple,priming,geck,apple,novel,3,horseapple.png,L,
1,1,horse-apple,priming,mipp,apple,novel,3,horseapple.png,L,
1,1,horse-apple,priming,boff,apple,novel,3,horseapple.png,L,
1,1,horse-apple,priming,foobly,horse,familiar,1,horseapple.png,A,
1,2,horse-apple,priming,nuppical,horse,familiar,1,horseapple.png,A,
1,2,horse-apple,priming,dodish,horse,familiar,1,horseapple.png,A,
1,2,horse-apple,priming,geck,horse,novel,1,horseapple.png,A,
1,2,horse-apple,priming,mipp,horse,novel,1,horseapple.png,A,
1,2,horse-apple,priming,boff,horse,novel,1,horseapple.png,A,
,2,,,,,,,,,